Date, amount  won ,cash prize,location,state,gender
8/27/2010,135000000,,"Morro Bay, Calif.",CA,M
7/16/2010,64000000,,"Agoura Hills, Calif. and Thu Thao Truong of El Monte, Calif.",,F
6/22/2010,26000000,,"Syracuse, N.Y.",NY,M
6/11/2010,36000000,,"Kalamazoo, Mich.",MI,Mixed
5/28/2010,12000000,,"Greensboro, N.C.",NC,M
5/25/2010,64000000,,"Brooklyn, N.Y.",NY,F
5/4/2010,266000000,,"Pico Rivera, Calif.",CA,Mixed
3/12/2010,20000000,,"Hennepin, Ill.",IL,Mixed
3/5/2010,134000000,,"Long Beach, Calif.",CA,M
1/29/2010,144000000,,"Katy, Texas.",TX,M
12/22/2009,165000000,,"Suffolk County, N.Y.",NY,Mixed
11/10/2009,38500000,,"South San Francisco, Calif. ",CA,F
11/10/2009,38500000,,"Union County, N.J.",NJ,Mixed
10/16/2009,200000000,,"Shenandoah, Va.",VA,M
9/1/2009,12000000,,"Sharpsburg, Ga.",GA,M
8/28/2009,168000000,,"Bronx, NY",NY,M
8/28/2009,168000000,,"San Gabriel, Calif.",CA,M
7/7/2009,133000000,,"Queens, N.Y.",NY,Mixed
5/29/2009,35000000,,"Syracuse, N.Y.",NY,Mixed
5/15/2009,19000000,,"Santa Ana, Calif. ",CA,
5/15/2009,19000000,,"Rappahannock County, Va.",VA,Mixed
5/1/2009,75600000,,"Mill Valley, Calif.,  ",CA,Mixed
5/1/2009,75600000,,"Chillicothe, Ohio, ",OH,Mixed
5/1/2009,75600000,,"Spotsylvania County, Va.",VA,M
3/13/2009,26000000,,"Suffolk County, N.Y.",NY,F
3/3/2009,216000000,,"Whitehouse Station, N.J.",NJ,Mixed
1/13/2009,22000000,,"Merrick, N.Y.",NY,F
1/2/2009,47000000,,"San Diego, Calif.",CA,M
12/12/2008,207000000,,"Piqua, Ohio",OH,M
10/21/2008,42000000,,"Rockmart, Ga.",GA,M
10/3/2008,42000000,,"Washington, Mich.",MI,Mixed
9/16/2008,15000000,,"Portsmouth, Ohio.",OH,Unk
9/9/2008,24000000,,"Baltimore, Md.",MD,F
8/29/2008,133000000,,"Carrollton, Ga.",GA,Mixed
7/22/2008,126000000,,"Union County, N.J.",NJ,Mixed
6/13/2008,57000000,,"Kent City, Mich.",MI,M
5/23/2008,8500000,,"Tompkins Cove, N.Y.",NY,Mixed
5/23/2008,8500000,," Franklin Grove, Ill.",IL,M
5/16/2008,196000000,,"Amelia, Ohio",OH,Unk
4/1/2008,136000000,,"Livonia, Mich.",MI,M
2/22/2008,275000000,,"Portal, Ga.",GA,M
1/1/2008,33000000,,"Fort Worth, Texas",TX,M
12/18/2007,81500000,,Chicago,IL,Mixed
12/18/2007,81500000,,"Morris County, N.J.",NJ,Mixed
11/2/2007,81500000,,"Mahopac, N.Y.",NY,M
10/5/2007,81500000,,"Essex, Md.",MD,F
9/25/2007,81500000,,"Totowa, N.J.",NJ,Mixed
9/21/2007,81500000,,"Studio City, Calif.",CA,F
8/31/2007,82500000,,"Villas, N.J.",NJ,Mixed
8/31/2007,82500000,,"Buckingham, Va",VA,M
8/31/2007,82500000,,"Dallas, Texas",TX,Mixed
8/31/2007,82500000,,"Dundalk, Md",MD,M
7/6/2007,128000000,,"Dallas, Texas",TX,Unk
5/29/2007,44000000,,"St. Petersburg, Fla., ticket purchased in Va.",VA,Mixed
5/11/2007,113000000,,"Hawthorne, Calif.",CA,M
4/6/2007,105000000,,"Queens, N.Y.",NY,M
3/6/2007,195000000,,"Woodbine, N.J.",NJ,Mixed
3/6/2007,195000000,," Dalton, Ga.",GA,M
1/9/2007,125000000,,"Amarillo, Texas",TX,Unk
12/1/2006,40000000,,"Columbus, Ohio",OH,M
11/14/2006,75000000,,"Detroit, Mich.",MI,F
10/17/2006,55000000,,"North Bend, Wash.",WA,M
9/26/2006,15000000,,"Hasbrouck Heights, N.J.",NJ,M
9/19/2006,12000000,,"Bronx, N.Y.",NY,M
9/15/2006,163000000,,"Bainbridge, Ga.",GA,M
8/1/2006,31000000,,"Queens, N.Y.",NY,Unk
7/18/2006,49000000,,"Forestville, Md.",MD,Unk
6/27/2006,24000000,,Ohio,OH,Mixed
6/16/2006,35000000,,"La Quinta, Calif.",CA,M
6/2/2006,47000000,,"New Brunswick, N.J.",NJ,M
5/16/2006,94000000,,"El Paso, Texas",TX,F
4/18/2006,265000000,,Ohio,OH,M
2/28/2006,270000000,,Ohio,OH,M
1/6/2006,15000000,,Ohio,OH,M
12/30/2005,88000000,,"Montebello, Calif.",CA,Mixed
11/29/2005,17500000,,"Wilmington, Calif.",CA,Unk
11/29/2005,17500000,,"Saginaw, Mich.",MI,Mixed
11/15/2005,315000000,,"Anaheim, Calif.",CA,Mixed
9/16/2005,258000000,,"Rutherford, N.J.",NJ,Mixed
7/22/2005,170000000,,Ohio,OH,Unk
6/3/2005,106000000,,Ohio,OH,Mixed
4/22/2005,208000000,,"Port Huron, Mich.",MI,Mixed
3/1/2005,115000000,,"Rowlett, Texas",TX,Unk
1/18/2005,131000000,,"Washington, Ga.",GA,F
12/3/2004,25000000,,"Hackensack, NJ.",NJ,Unk
11/19/2004,149000000,,"Queens, N.Y.",NY,M
10/1/2004,106000000,,"Carrollton, Texas",TX,Unk
8/20/2004,52000000,,Ohio,OH,Unk
7/27/2004,10000000,,"Cherry Hill, N.J.",NJ,M
7/23/2004,47000000,,"Pullman, Mich.",MI,M
7/2/2004,294000000,,"Boston, Mass.",MA,Unk
5/7/2004,67000000,,"Rockaway Beach, N.Y.",NY,Mixed
4/9/2004,109000000,,"Wheaton, Md.",MD,Unk
3/2/2004,21000000,,"Dayton, Ohio",OH,M
2/20/2004,239000000,,"Winchester, Va.",VA,Mixed
12/30/2003,162000000,,"South Euclid, Ohio",OH,F
11/11/2003,23300000,,"Roswell, Ga.",GA,M
11/11/2003,23300000,,"Roswell, Ga.",GA,M
11/11/2003,23300000,,"Battle Creek, Mich.",MI,Mixed
10/7/2003,23300000,,Neptune Township N.J.,MJ,F
9/30/2003,23300000,,"Fitzgerald, Ga.",GA,M
8/8/2003,23300000,,"Savannah, Ga.",GA,M
7/11/2003,23300000,,"Uniondale, N.Y.",NY,F
6/20/2003,23300000,,"Baldwin, Md.",MD,F
4/25/2003,23300000,,"Brooklyn, N.Y.",NY,Unk
3/28/2003,23300000,,"Randallstown, Md.",MD,Unk
3/14/2003,23300000,,"Englewood, N.J.",NJ,Mixed
2/18/2003,23300000,,"Geraldine, Ala.",AL,Unk
2/11/2003,23300000,,"Brooklyn, N.Y.",NY,M
12/24/2002,23300000,,Unclaimed in N.Y.,NY,Unk
11/19/2002,23300000,,"New York City, N.Y.",NY,Mixed
11/8/2002,23300000,,"Hoquiam, Wash.",WA,Mixed
9/27/2002,23300000,,"Mount Prospect, Ill.",IL,Mixed
9/6/2002,23300000,,"Kentwood, Mich.",MI,M
8/27/2002,23300000,,"New York City, N.Y.",NY,Mixed
7/16/2002,23300000,,"Cliffside Park, N.J.",NJ,M
5/24/2002,23300000,,"Chicago, Ill.",IL,F
5/17/2002,23300000,,"Chatham, Ill.",IL,Mixed
