Draw Date,Prize,Gender,City,State
1/19/2016,1000000,M,Dexter, MI
1/5/2016,1000000,M,Bohemia, NY
12/22/2015,1000000,F,East Windsor, NJ
12/18/2015,1000000,Unk,Topeka, KS
12/11/2015,1000000,M ,Baltimore, MD
12/8/2015,1000000,M,Howell, MI
12/1/2015,1000000,F,Revere, MA
11/27/2015,1000000,M,Pleasantville, NJ
11/24/2015,1000000,M,Kearney, NE
11/20/2015,1000000,Mixed,Burlington & Winfield, IA
10/30/2015,5000000,Unk,Chester, SC
9/18/2015,1000000,M,Baltimore County, MD
9/11/2015,1000000,M,Comstock Park, MI
8/21/2015,1000000,F,Mifflintown, PA
8/18/2015,1000000,M,Haverhill, MA
8/7/2015,1000000,F,Champion, MI
8/4/2015,1000000,M,Glen Burnie, MD
7/31/2015,25000000,Unk,McDonald County, MO
7/10/2015,3000000,M,Woolwich, ME
7/7/2015,3000000,F,Beebe, AR
7/3/2015,1000000,Mixed,Newport, KY
6/26/2015,1000000,Mixed,Broadway, VA
6/12/2015,1000000,M,Salem, VA
6/12/2015,5000000,M,Herndon, VA
6/5/2015,1000000,M,Sandy, UT
6/2/2015,1000000,M,Plymouth, MN
6/2/2015,1000000,M,Mableton, GA
6/2/2015,3000000,M,South Chesterfield, VA
6/2/2015,262000000,M,Blue Island, IL
6/2/2015,1000000,F,Amherst, NY
6/2/2015,1000000,M,Burgaw, NC
5/26/2015,2700000,M,Salinas, CA
5/22/2015,1000000,M,Everett, MA
5/8/2015,1000000,F,Steubenville, OH
4/28/2015,1000000,Unk,Wichita, KS
4/21/2015,1000000,Unk,Columbia, SC
4/21/2015,1000000,M,Henrico, VA
4/17/2015,1000000,M,Detroit, MI
4/3/2015,5000000,M,Oakland County, MI
3/31/2015,672000,M,Oakley, CA
3/27/2015,1000000,M,Los Lunas, NM
3/27/2015,1000000,M,Roslyn, NY
3/24/2015,58000000,Unk,Manhattan, NY
3/24/2015,1000000,M,King's Park, NY
3/10/2015,1100000,F,San Pedro, CA
2/13/2015,3500000,M,Coalinga, CA
1/30/2015,1000000,F,Kenilworth, NJ
1/13/2015,1000000,Mixed,Ypsilanti, MI
1/13/2015,5000000,Mixed,Sun City West, AZ
1/13/2015,1000000,M,Lake Crystal, MN
1/9/2015,1000000,Mixed,Waterbury, CT
1/9/2015,1000000,F,Charleston, WV
12/30/2014,1000000,F,Woodbridge, VA
12/12/2014,928084,F,Los Angeles, CA
12/5/2014,1000000,M,Chicopee, MA
11/18/2014,463395,F,San Jose, CA
11/4/2014,597933,Mixed,Stockton, CA
11/4/2014,4000000,F,Coram, NY
11/4/2014,1000000,M,Saddle Brook, NJ
10/31/2014,1000000,Unk,East Meadow, NY
10/28/2014,1000000,Unk,St. Robert, MO
10/24/2014,1000000,M ,Montgomery, AL
10/21/2014,1000000,Mixed,Oakbrook, IL
10/17/2014,1000000,Mixed,Delavan, WI
10/17/2014,274279,M,Inglewood, CA
10/14/2014,1000000,M,Massapequa Park, NY
10/14/2014,1000000,F,Hutchison, KS
10/10/2014,1300000,Mixed,Long Beach, CA
10/7/2014,1000000,F,Medora, IL
9/23/2014,1000000,F,Abingdon, VA
9/9/2014,1000000,F,Capitol Heights, MD
9/5/2014,1000000,F,Birmingham, AL
9/2/2014,1000000,M,Brooklyn, NY
8/15/2014,1000000,M,Sycamore, IL
8/8/2014,1000000,F,New Bedford, MA
8/1/2014,1000000,Mixed,Johnston, IA
7/18/2014,1000000,Mixed,Umatilla, OR
7/15/2014,1000000,Mixed,Winchester, KY
6/13/2014,1000000,M,Sterling, VA
5/27/2014,1000000,M,Atlanta, NY
5/20/2014,1000000,F,Kentwood, MI
5/16/2014,1000000,M,Bartlett, IL
5/9/2014,468905,F,Alameda County, CA
